transaction_id,merchant_id,user_id,amount,category,payment_method,account_age_days,historical_return_rate,past_chargebacks,address_changed_hours,device_trust_score,promo_code_used,ip_country_match,is_vpn_or_proxy,same_device_account_count,device_hash,vpa,delivery_address,is_return_fraud,is_chargeback_risk,is_abuse_ring,is_fraud
txn_rzp_000001,mch_fashion_hub,usr_4278,1779.25,GROCERY,CREDIT_CARD,541,0.1369,0,144.8,100.0,1,1,0,1,dev_hash_81482,user_189@okhdfcbank,"House No 303, Street 14, Bengaluru",0,0,0,0
txn_rzp_000002,mch_fashion_hub,usr_13280,2679.29,LUXURY_FASHION,UPI_COLLECT,630,0.2636,0,53.6,68.5,0,1,0,3,dev_hash_81426,user_529@okhdfcbank,"House No 113, Street 15, Bengaluru",0,0,0,0
txn_rzp_000003,mch_quick_vouchers,usr_1851,16254.19,LUXURY_FASHION,COD,61,0.0424,0,110.7,79.2,0,1,0,2,dev_hash_23396,user_194@okhdfcbank,"House No 195, Street 4, Bengaluru",0,0,0,0
txn_rzp_000004,mch_quick_vouchers,usr_80131,6127.94,DIGITAL_VOUCHER,UPI_INTENT,8,0.0324,0,41.8,95.1,0,1,0,2,dev_hash_82357,user_400@okhdfcbank,"House No 425, Street 20, Bengaluru",0,0,0,0
txn_rzp_000005,mch_hyper_grocery,usr_26203,680.87,GROCERY,UPI_INTENT,123,0.3258,0,14.7,91.3,1,1,0,2,dev_hash_40512,user_987@okhdfcbank,"House No 52, Street 13, Bengaluru",0,0,0,0
txn_rzp_000006,mch_luxe_jewels,usr_84320,1340.68,DIGITAL_VOUCHER,UPI_COLLECT,39,0.2076,0,31.8,49.5,0,1,0,3,dev_hash_94939,user_173@okhdfcbank,"House No 312, Street 6, Bengaluru",0,0,0,0
txn_rzp_000007,mch_gadget_bazar,usr_22417,1372.07,FOOTWEAR,DEBIT_CARD,140,0.1893,0,16.0,96.6,1,1,0,1,dev_hash_52504,user_963@okhdfcbank,"House No 394, Street 2, Bengaluru",0,0,0,0
txn_rzp_000008,mch_fashion_hub,usr_42347,3505.03,FOOTWEAR,CREDIT_CARD,13,0.372,0,28.3,97.8,1,1,0,3,dev_hash_37869,user_771@okhdfcbank,"House No 256, Street 13, Bengaluru",0,0,0,0
txn_rzp_000009,mch_luxe_jewels,usr_19726,7431.26,DIGITAL_VOUCHER,UPI_COLLECT,182,0.0918,0,59.3,77.4,1,1,0,1,dev_hash_86484,user_508@okhdfcbank,"House No 186, Street 8, Bengaluru",0,0,0,0
txn_rzp_000010,mch_hyper_grocery,usr_65686,52045.95,ELECTRONICS,UPI_INTENT,100,0.4653,0,20.6,96.8,0,1,0,3,dev_hash_88172,user_165@okhdfcbank,"House No 198, Street 13, Bengaluru",0,0,0,0
txn_rzp_000011,mch_luxe_jewels,usr_70352,4398.64,DIGITAL_VOUCHER,NETBANKING,253,0.072,0,147.7,68.5,0,1,0,1,dev_hash_80381,user_868@okhdfcbank,"House No 137, Street 11, Bengaluru",0,0,0,0
