transaction_id,merchant_id,user_id,amount,category,payment_method,account_age_days,historical_return_rate,past_chargebacks,address_changed_hours,device_trust_score,promo_code_used,ip_country_match,is_vpn_or_proxy,same_device_account_count,velocity_1h_count,login_to_checkout_minutes,is_disposable_email,card_bin_country_match,upi_collect_prompted,delivery_dropzone_risk,device_hash,vpa,delivery_address,scam_type,is_fraud
txn_rzp_000001,mch_fashion_hub,usr_4278,1966.52,GROCERY,CREDIT_CARD,602,0.1369194297069317,0,144.8,100.0,1,1,0,1,3,0.9,0,1,0,0.35,dev_hash_38657,user_338@okhdfcbank,"House No 259, Bengaluru",CLEAN,0
txn_rzp_000002,mch_hyper_grocery,usr_27062,1179.84,GROCERY,COD,40,0.10804311130651265,0,68.1,73.15126297318025,0,1,0,2,1,20.5,0,1,0,0.16,dev_hash_65392,user_448@okhdfcbank,"House No 143, Bengaluru",CLEAN,0
txn_rzp_000003,mch_quick_vouchers,usr_14396,25371.62,ELECTRONICS,DEBIT_CARD,144,0.07767990479510466,0,214.1,70.38978096129912,1,1,0,1,3,51.9,0,1,0,0.12,dev_hash_59615,user_180@okhdfcbank,"House No 283, Bengaluru",CLEAN,0
txn_rzp_000004,mch_hyper_grocery,usr_48400,51080.39,JEWELRY,UPI_COLLECT,6,0.09617402735430688,0,57.0,83.4982130568618,0,1,0,2,1,114.7,0,1,1,0.01,dev_hash_59823,user_384@okhdfcbank,"House No 233, Bengaluru",CLEAN,0
txn_rzp_000005,mch_quick_vouchers,usr_22319,1155.8,DIGITAL_VOUCHER,CREDIT_CARD,78,0.031105664174021098,0,56.3,85.18534351031673,1,1,0,1,3,3.5,0,1,0,0.53,dev_hash_42087,user_267@okhdfcbank,"House No 237, Bengaluru",CLEAN,0
txn_rzp_000006,mch_hyper_grocery,usr_29785,1113.77,GROCERY,CREDIT_CARD,1,0.1555523309496556,0,32.0,55.86954736724027,0,1,0,1,2,3.0,0,1,0,0.05,dev_hash_84341,user_997@okhdfcbank,"House No 368, Bengaluru",CLEAN,0
txn_rzp_000007,mch_luxe_jewels,usr_52856,3688.59,GROCERY,DEBIT_CARD,202,0.09176187948080403,0,59.3,79.42678337424077,1,1,0,2,3,33.3,0,1,0,0.06,dev_hash_62350,user_470@okhdfcbank,"House No 113, Bengaluru",CLEAN,0
txn_rzp_000008,mch_gadget_bazar,usr_67784,673.27,FOOTWEAR,UPI_INTENT,6,0.01860944732826701,0,38.0,67.37186674083328,0,1,0,1,3,3.6,0,1,0,0.05,dev_hash_60019,user_710@okhdfcbank,"House No 240, Bengaluru",CLEAN,0
txn_rzp_000009,mch_hyper_grocery,usr_2504,4659.03,GROCERY,COD,330,0.22222605184461333,0,55.8,68.76715049796236,1,1,0,2,1,11.6,0,1,0,0.12,dev_hash_10425,user_839@okhdfcbank,"House No 449, Bengaluru",CLEAN,0
txn_rzp_000010,mch_hyper_grocery,usr_24416,82883.56,JEWELRY,UPI_INTENT,1,0.0007925286074150586,0,206.1,83.43902128151608,0,1,0,1,1,54.6,0,1,0,0.22,dev_hash_79514,user_100@okhdfcbank,"House No 307, Bengaluru",CLEAN,0
txn_rzp_000011,mch_fashion_hub,usr_15662,678.12,DIGITAL_VOUCHER,CREDIT_CARD,188,0.13739585926451942,0,305.6,84.8247574773378,1,1,0,1,23,12.5,0,0,0,0.26,dev_hash_79822,user_884@okhdfcbank,"House No 65, Bengaluru",CARDING_VELOCITY,1
txn_rzp_000012,mch_hyper_grocery,usr_22643,9668.43,DIGITAL_VOUCHER,NETBANKING,200,0.297368167730237,0,81.5,70.93923632635565,0,1,0,1,3,0.8,0,0,0,0.1,dev_hash_95180,user_482@okhdfcbank,"House No 225, Bengaluru",CLEAN,0
txn_rzp_000013,mch_luxe_jewels,usr_16860,39511.14,LUXURY_FASHION,UPI_COLLECT,97,0.040675092423232,2,151.1,65.83180201873841,1,0,1,1,1,13.4,0,1,1,0.17,dev_hash_40007,user_169@okhdfcbank,"House No 464, Bengaluru",CHARGEBACK_FRAUD,1
txn_rzp_000014,mch_fashion_hub,usr_68391,6910.32,LUXURY_FASHION,CREDIT_CARD,455,0.4268065531323631,0,163.7,99.05163609781825,0,1,0,2,1,98.2,0,1,0,0.31,dev_hash_34957,user_196@okhdfcbank,"House No 50, Bengaluru",CLEAN,0
txn_rzp_000015,mch_quick_vouchers,usr_56519,4507.99,FOOTWEAR,DEBIT_CARD,186,0.14441633986549282,0,57.3,68.57037731157811,0,1,0,1,1,53.0,0,1,0,0.14,dev_hash_24322,user_354@okhdfcbank,"House No 99, Bengaluru",CLEAN,0
txn_rzp_000016,mch_luxe_jewels,usr_19373,1728.19,FOOTWEAR,UPI_COLLECT,274,0.043978992841919626,0,33.0,95.04856935939216,1,1,0,2,3,13.9,0,1,1,0.06,dev_hash_80855,user_956@okhdfcbank,"House No 8, Bengaluru",CLEAN,0
txn_rzp_000017,mch_gadget_bazar,usr_22798,3211.02,FOOTWEAR,DEBIT_CARD,316,0.18462947216521164,0,23.7,100.0,0,1,0,1,2,1.1,1,1,0,0.19,dev_hash_69638,user_392@okhdfcbank,"House No 217, Bengaluru",CLEAN,0
txn_rzp_000018,mch_hyper_grocery,usr_87752,4823.56,GROCERY,DEBIT_CARD,383,0.16505513184981851,0,58.6,74.5257325983139,1,1,0,1,3,123.8,0,1,0,0.28,dev_hash_72493,user_614@okhdfcbank,"House No 471, Bengaluru",CLEAN,0
txn_rzp_000019,mch_gadget_bazar,usr_8455,55680.54,JEWELRY,UPI_INTENT,30,0.13351922823204615,1,32.1,88.97255242189175,0,0,1,1,2,15.6,0,1,0,0.24,dev_hash_42271,user_692@okhdfcbank,"House No 305, Bengaluru",CHARGEBACK_FRAUD,1
txn_rzp_000020,mch_luxe_jewels,usr_87163,51631.92,JEWELRY,NETBANKING,320,0.1213468603894786,0,33.9,90.42226002089276,0,1,0,2,1,4.4,0,1,0,0.16,dev_hash_94607,user_407@okhdfcbank,"House No 235, Bengaluru",CLEAN,0
txn_rzp_000021,mch_fashion_hub,usr_2220,1539.73,FOOTWEAR,NETBANKING,178,0.11081399138284004,0,17.5,74.64292404168427,0,0,0,1,3,43.9,0,1,0,0.02,dev_hash_19016,user_350@okhdfcbank,"House No 190, Bengaluru",CLEAN,0
txn_rzp_000022,mch_luxe_jewels,usr_72200,3241.54,GROCERY,CREDIT_CARD,258,0.15214143287437198,0,41.6,82.98326903631084,0,0,0,1,3,3.7,0,1,0,0.01,dev_hash_96951,user_206@okhdfcbank,"House No 481, Bengaluru",CLEAN,0
txn_rzp_000023,mch_quick_vouchers,usr_16129,21610.02,ELECTRONICS,COD,57,0.27599286229356174,1,96.4,100.0,0,1,0,2,1,36.4,0,1,0,0.31,dev_hash_76244,user_600@okhdfcbank,"House No 129, Bengaluru",CLEAN,0
txn_rzp_000024,mch_fashion_hub,usr_13097,3825.55,GROCERY,DEBIT_CARD,2,0.07416126682403794,0,48.7,92.39414485486938,0,1,0,1,3,28.9,0,1,0,0.11,dev_hash_67912,user_664@okhdfcbank,"House No 362, Bengaluru",CLEAN,0
txn_rzp_000025,mch_fashion_hub,usr_15663,63253.15,ELECTRONICS,COD,9,0.030992936105383898,0,12.8,100.0,0,1,0,1,2,3.3,0,1,0,0.18,dev_hash_15229,user_466@okhdfcbank,"House No 108, Bengaluru",CLEAN,0
txn_rzp_000026,mch_fashion_hub,usr_47357,58066.25,JEWELRY,DEBIT_CARD,98,0.04982191565255674,0,233.9,48.766595207639966,0,1,0,1,1,106.1,0,1,0,0.06,dev_hash_64040,user_125@okhdfcbank,"House No 92, Bengaluru",CLEAN,0
txn_rzp_000027,mch_quick_vouchers,usr_54964,4247.65,GROCERY,COD,4,0.18803176093195995,0,151.2,74.31218174533825,0,1,0,1,2,59.8,0,1,0,0.34,dev_hash_39154,user_304@okhdfcbank,"House No 419, Bengaluru",CLEAN,0
txn_rzp_000028,mch_quick_vouchers,usr_41001,36887.06,LUXURY_FASHION,UPI_COLLECT,931,0.053083357898823305,1,140.7,70.53485777862672,1,1,0,1,2,25.2,0,1,1,0.27,dev_hash_99065,user_963@okhdfcbank,"House No 275, Bengaluru",CLEAN,0
