transaction_id,merchant_id,user_id,amount,category,payment_method,account_age_days,historical_return_rate,past_chargebacks,address_changed_hours,device_trust_score,promo_code_used,ip_country_match,is_vpn_or_proxy,same_device_account_count,velocity_1h_count,login_to_checkout_minutes,is_disposable_email,card_bin_country_match,upi_collect_prompted,delivery_dropzone_risk,is_otp_forwarding_active,remote_screen_share_active,vishing_call_in_progress,referred_from_phishing_link,sideloaded_apk_detected,domain_reputation_score,is_first_transfer_to_unknown_vpa,high_lottery_keyword_score,unusual_savings_drain_ratio,device_hash,vpa,delivery_address,scam_type,is_fraud
txn_rzp_000001,p2p_lottery_claim,usr_15592,40584.99,ELECTRONICS,COD,602,0.1369194297069317,0,144.8,100.0,1,1,0,1,3,0.9,0,1,0,0.35,0,0,0,0,0,80.1,0,2.7,0.05,dev_hash_38657,user_338@okhdfcbank,"House No 259, Bengaluru",CLEAN,0
txn_rzp_000002,mch_hyper_grocery,usr_27062,49115.13,P2P_TRANSFER,UPI_COLLECT,789,0.018846948195002128,0,1.0,100.0,0,1,0,1,3,0.2,0,1,1,0.15,0,0,0,0,0,76.1,0,9.1,0.05,dev_hash_38221,user_881@okhdfcbank,"House No 173, Bengaluru",ACCOUNT_TAKEOVER,1
txn_rzp_000003,mch_fashion_hub,usr_48052,4833.32,GROCERY,NETBANKING,330,0.08389839693388101,0,49.2,93.16071859365103,1,1,0,1,2,16.8,0,1,0,0.23,0,0,0,0,0,79.4,0,14.5,0.16,dev_hash_92397,user_733@okhdfcbank,"House No 454, Bengaluru",CLEAN,0
txn_rzp_000004,mch_hyper_grocery,usr_26203,42458.96,LUXURY_FASHION,UPI_INTENT,450,0.20947602822026726,0,28.3,56.34364815412116,0,1,0,1,1,79.4,0,1,0,0.12,0,0,0,0,0,88.0,0,2.1,0.16,dev_hash_57819,user_266@okhdfcbank,"House No 190, Bengaluru",CLEAN,0
txn_rzp_000005,p2p_lottery_claim,usr_35993,6131.13,LUXURY_FASHION,NETBANKING,866,0.05738416747861785,0,94.0,66.57251962843779,0,1,0,2,2,89.5,0,1,0,0.2,0,0,0,0,0,76.5,0,4.7,0.08,dev_hash_83000,user_324@okhdfcbank,"House No 351, Bengaluru",CLEAN,0
txn_rzp_000006,unknown_vpa_merchant,usr_8331,3688.59,FOOTWEAR,IMPS_NEFT,202,0.09176187948080403,0,59.3,79.42678337424077,1,1,0,1,3,33.3,0,1,0,0.06,0,0,0,0,0,77.6,0,0.5,0.13,dev_hash_95909,user_611@okhdfcbank,"House No 203, Bengaluru",CLEAN,0
txn_rzp_000007,p2p_lottery_claim,usr_61142,5058.16,DIGITAL_VOUCHER,CREDIT_CARD,448,0.09800341650986924,0,0.6,67.064102353709,1,1,0,2,3,1.3,0,1,0,0.31,0,0,0,0,0,95.9,0,12.1,0.05,dev_hash_28131,user_621@okhdfcbank,"House No 253, Bengaluru",ACCOUNT_TAKEOVER,1
txn_rzp_000008,unknown_vpa_merchant,usr_15371,12207.88,DIGITAL_VOUCHER,COD,452,0.07624076597061515,0,141.9,80.08181530627938,1,1,0,2,2,24.3,0,1,0,0.06,0,0,0,0,0,83.1,0,14.1,0.08,dev_hash_42953,user_666@okhdfcbank,"House No 441, Bengaluru",CLEAN,0
txn_rzp_000009,p2p_lottery_claim,usr_95466,24789.21,LUXURY_FASHION,COD,242,0.16434059211485494,0,25.8,80.96368335905642,0,1,0,2,1,2.4,0,1,0,0.03,0,0,0,0,0,80.7,0,2.2,0.11,dev_hash_10425,user_839@okhdfcbank,"House No 449, Bengaluru",CLEAN,0
txn_rzp_000010,mch_hyper_grocery,usr_24416,44397.32,LUXURY_FASHION,IMPS_NEFT,55,0.22505776744365633,0,72.0,89.38971350080432,0,1,0,1,1,4.3,0,1,0,0.14,0,0,0,0,0,79.5,0,0.6,0.13,dev_hash_79514,user_100@okhdfcbank,"House No 307, Bengaluru",CLEAN,0
